County_States,2015_Tract_population,adjusted_hdi,unadjusted_hdi,unadjusted_income_index,adjusted_income_index,expect_edu_index,mean_edu_index,final_edu_index,le_index,Macroregion
"Abbeville County, SC",24997,725.7287985142274,864.5894464754252,895.3119035679415,914.9655661918946,866.3023833961437,779.8074392949353,823.0549113455394,881.8461538461539,South
"Acadia Parish, LA",62163,355.3080522955352,847.3912526224643,912.0612823244734,929.3253129230153,845.0470926047786,752.4987047019689,798.7728986533738,848.9230769230771,South
"Accomack County, VA",33115,365.8665208989881,871.9443569054238,931.9108518083294,951.5645144322824,816.0376795319034,809.7294176843516,812.8835486081275,870.7008547008546,South
"Ada County, ID",417501,331.98578475010424,930.3555991212343,963.8190301758823,971.2494984888682,895.2025266781907,915.9561030908696,905.5793148845302,911.5018315018317,West
"Adair County, IA",7426,898.5390881318534,892.450049303821,953.6929308194163,973.3465934433693,824.7710930002213,842.3266361816363,833.548864590929,894.3589743589746,Midwest
"Adair County, KY",18852,874.3616028445005,868.0533426692748,895.2046982212853,914.8583608452384,932.021317957005,765.9166706101695,848.9689942835876,861.7582417582416,South
"Adair County, MO",25560,756.4786120742575,875.8520365568829,870.8318538273779,890.4855164513313,910.7826943085621,859.8949278680809,885.3388110883214,901.1282051282051,Midwest
"Adair County, OK",22236,834.8434366229773,828.7270067369016,880.556762169208,900.2104247931609,829.8244752345684,787.3828798216792,808.6036775281239,805.8461538461538,South
"Adams County, CO",471206,778.8081883850411,881.2048118078098,937.0930685289294,928.2912159955622,838.4593620554439,815.3319978159152,826.8956799356796,892.2793987621574,West
"Adams County, IA",3892,899.954954236862,893.861098639641,954.550829193548,974.204491817501,833.1548631993226,842.941125753403,838.047994476363,893.846153846154,Midwest
"Adams County, ID",3880,882.1166421378709,875.9263607243736,920.480814044152,940.1344766681054,759.440643688913,849.3540613339414,804.3973525114275,907.6923076923081,West
"Adams County, IL",67081,844.4409025041591,887.8969082069663,929.1370215136388,948.7906841375918,864.8560213495587,845.7199373629306,855.2879793562447,881.1764705882351,Midwest
"Adams County, IN",34642,886.9095993447536,880.7052157558228,923.1033276779006,942.7569903018538,794.4397009514257,810.5101549912073,802.4749279713163,924.6153846153845,Midwest
"Adams County, MS",31979,759.2830819279968,848.0242386865018,889.9844005684831,909.6380631924364,867.7349292683433,817.4376333273026,842.5862812978229,807.3076923076923,South
"Adams County, ND",2341,922.312142301849,916.297671283116,991.548241042926,1011.20190366688,821.046228710462,879.8764001545,850.461314432481,912.307692307692,Midwest
"Adams County, NE",31442,922.4776386922347,916.2178861469988,952.0330272242257,971.6866898481793,929.7224225958843,845.8858876791274,887.8041551375055,910.940170940171,Midwest
"Adams County, OH",28229,703.998202671637,838.7562528675535,900.9707469828695,920.624409606823,800.8710584292697,776.1167924528659,788.4939254410675,829.3846153846156,Midwest
"Adams County, PA",101767,796.0070050342207,913.3531338024526,958.760694364479,965.2421183114146,865.0515383259914,846.9135708424348,855.982554584213,922.8846153846155,Northeast
"Adams County, WA",19081,695.431395922338,863.1134145003517,901.6611189649454,921.3147815888991,805.2088189997933,736.4571379126469,770.83297845622,897.6923076923077,West
"Adams County, WI",20451,760.8699118697367,881.5080021876535,930.9570457520858,950.6107083760392,834.9859840774981,814.6825758740924,824.8342799757953,888.769230769231,Midwest
"Addison County, VT",36943,945.428685627895,939.1007740394895,966.5038179930009,986.1574806169543,892.7943126283104,907.0651351110407,899.929723869676,954.4615384615385,Northeast
"Aiken County, SC",163908,598.4033684660262,891.918721200772,938.1157216740793,956.2288592379168,869.8739862234548,841.2350022278644,855.5544942256596,879.7725752508361,South
"Aitkin County, MN",15839,592.7921527484393,883.1233852284245,947.5117309722485,967.1653935962019,796.2253957059602,835.0641709467442,815.6447833263524,894.2307692307692,Midwest
"Alachua County, FL",254218,731.9803240019911,908.1468243753085,923.8130223772558,932.1985353766435,915.0224167326131,932.4597347579048,923.7410757452586,888.1846153846153,South
"Alamance County, NC",155258,872.288624748764,892.1771864694862,932.8627052249711,948.7780149762127,867.354290470066,829.5766052665239,848.4654478682946,894.2681318681318,South
"Alameda County, CA",1584983,888.0426389319242,946.991799072382,992.8728758574533,962.9591808995506,930.8206465666409,902.2824324902024,916.6758023180131,936.3471630410406,West
"Alamosa County, CO",16269,663.6248288192943,878.503550132948,907.9405426356835,927.5942052596367,890.7669239656975,836.3500028076503,863.5584633866742,908.205128205128,West
"Albany County, NY",307463,806.6101338507301,930.5581015463815,970.3629593766572,970.8168076841553,919.0841880067744,912.4375977268643,915.7608928668193,914.0260355029585,Northeast
"Albany County, WY",37565,851.8042115854662,939.7624114053178,924.0767039916316,943.7303666155842,994.5387426560007,957.5915752501585,976.0651589530813,935.6923076923072,West
"Albemarle County, VA",103108,613.0084230877173,962.3810622361376,979.5746609734841,982.4723357904118,908.9102251181284,965.5536453190274,937.2319352185783,940.7692307692305,South
"Alcona County, MI",10550,738.5233949635928,880.1338606594209,939.7431848645692,959.396847488523,834.0963896861394,825.958928705649,830.0276591958942,877.9999999999999,Midwest
"Alcorn County, MS",37319,486.2605480470107,844.8709987785735,904.5677153890268,924.2213780129803,839.2772305510423,796.3491170433354,817.8131737971887,817.1538461538462,South
"Aleutians East Borough, AK",3304,919.064393413802,912.911222635491,965.445786686806,985.099449310759,748.309498744957,783.042328042328,765.6759133936431,1029.23076923077,West
"Aleutians West Census Area, AK",5684,888.1080087263836,882.2539911506126,980.801769641003,1000.4554322649545,771.1412715324454,805.5856407335635,788.3634561330045,888.4615384615386,West
"Alexander County, IL",7364,844.268720091809,835.100003915649,861.418201073221,890.1113254590767,848.6728175208008,766.6568723313717,807.6648449260863,838.076923076923,Midwest
"Alexander County, NC",37158,871.5666849246609,865.225130788174,910.6993416846062,930.8700238596614,833.6995115497588,784.7493792973704,809.2244454235645,879.5604395604395,South
"Alexandria city, VA",149315,776.350659625265,991.5943161249506,1066.17597324514,1039.7724449275474,908.2448263648623,1002.0748213156696,955.1598238402661,945.0769230769233,South
"Alfalfa County, OK",5755,908.1419272831063,902.0913968502723,972.239333689763,991.8929963137143,834.5829877452401,840.8793308562393,837.7311593007397,904.102564102564,South
"Alger County, MI",9476,679.2892620442763,899.3444080004452,919.2632137311026,938.9168763550557,852.7011926037673,835.1255727356973,843.9133826697326,934.9615384615387,Midwest
"Allamakee County, IA",14060,903.6084631428351,897.4813529607733,953.030694856899,972.6843574808527,823.38184077669,826.6658690588881,825.023854917789,921.2307692307702,Midwest
"Allegan County, MI",112837,655.7875509194708,904.5771402834667,944.1083852488304,963.7620478727835,849.2432435735718,849.7124002901156,849.4778219318438,921.1578947368421,Midwest
"Allegany County, MD",73549,808.7460440215106,879.4882159434852,920.3804975802244,940.206303506431,860.5387841173437,839.795256763886,850.1670204406149,870.4761904761905,South
"Allegany County, NY",48070,634.590696158515,910.1883187982972,919.8317299048625,939.4853925288156,870.4213317448207,871.951538722582,878.7343327306951,933.9230769230765,Northeast
"Alleghany County, NC",10911,870.6880107222969,864.5420619111746,915.1865465315528,934.8402091555063,743.0661520643527,814.2938777302556,778.680014897304,908.205128205128,South
"Alleghany County, VA",16066,892.4317466848656,886.3109942111186,941.9566059254183,961.6102685493715,881.8826473368026,812.5219818687723,847.2023146027874,873.5897435897436,South
"Allegheny County, PA",1231145,817.7512195914118,918.23059685107,963.2237151999046,971.4496341734806,893.9270828304823,905.6500016684204,899.1817648584042,887.3139974779318,Northeast
